strategy,total_days,mean_pnl,std_pnl,sharpe_like,total_pnl_sum,mean_rebate_share,mean_inventory_pnl,mean_turnover,mean_drawdown,win_days_ratio,worst_day_pnl,best_day_pnl,mean_long_ratio,mean_short_ratio,mean_position,mean_average_position,mean_number_of_trades,tail_risk_ratio,rebate_dependency_flag,directional_bias_flag,stability_flag
simple,31,9.839837519310212,8.209253716917992,1.198627531639306,305.0349630986166,3.958719737388804,-3.555983871011756,2.6791642780643943,-6.373704380513072e-05,0.8709677419354839,-7.408797650859924,34.9755225010158,0.4100322580645162,0.5611612903225806,-0.07353741935483804,-0.07353741935483804,294.3225806451613,0.7529390232633936,True,False,True
inventory,31,8.753800554784492,5.482308545366368,1.59673620744735,271.36781719831924,1.893763675259956,-4.106887096827821,2.5721375303224634,-5.137221898361217e-05,0.9354838709677419,-5.98122075072024,16.6029533000401,0.4107741935483872,0.5599354838709677,-0.058254838709676994,-0.058254838709676994,282.61290322580646,0.6832713075066731,True,False,True
as,31,6.503219632199973,7.968255788709327,0.8161409227618863,201.59980859819916,1.108233217156957,0.9711451612326015,1.1064148941934742,-3.2562344488785795e-05,0.8064516129032258,-6.431650150101632,34.267677300129435,0.5189677419354839,0.4402903225806452,0.026867096774193057,0.026867096774193057,121.51612903225806,0.9889947616494493,True,False,True
